Date,Close/Last,Volume,Open,High,Low
9/14/2020,115.36,140150100,$114.72 ,$115.93 ,$112.80 
9/15/2020,115.54,184642000,$118.33 ,$118.83 ,$113.61 
9/16/2020,112.13,155026700,$115.23 ,$116 ,$112.04 
9/17/2020,110.34,178011000,$109.72 ,$112.20 ,$108.71 
9/18/2020,106.84,287104900,$110.40 ,$110.88 ,$106.09 
9/21/2020,110.08,195713800,$104.54 ,$110.19 ,$103.10 
9/22/2020,111.81,183055400,$112.68 ,$112.86 ,$109.16 
9/23/2020,107.12,150718700,$111.62 ,$112.11 ,$106.77 
9/24/2020,108.22,167743300,$105.17 ,$110.25 ,$105 
9/25/2020,112.28,149981400,$108.43 ,$112.44 ,$107.67 
9/28/2020,114.96,137672400,$115.01 ,$115.32 ,$112.78 
9/29/2020,114.09,100060500,$114.55 ,$115.31 ,$113.57 
9/30/2020,115.81,142675200,$113.79 ,$117.26 ,$113.62 
10/1/2020,116.79,116120400,$117.64 ,$117.72 ,$115.83 
10/2/2020,113.02,144712000,$112.89 ,$115.37 ,$112.22 
10/5/2020,116.50,106243800,$113.91 ,$116.65 ,$113.55 
10/6/2020,113.16,161498200,$115.70 ,$116.12 ,$112.25 
10/7/2020,115.08,96848990,$114.62 ,$115.55 ,$114.13 
10/8/2020,114.97,83477150,$116.25 ,$116.40 ,$114.59 
10/9/2020,116.97,100506900,$115.28 ,$117 ,$114.92 
10/12/2020,124.40,240226800,$120.06 ,$125.18 ,$119.28 
10/13/2020,121.10,262330500,$125.27 ,$125.39 ,$119.65 
10/14/2020,121.19,151062300,$121 ,$123.03 ,$119.62 
10/15/2020,120.71,112559200,$118.72 ,$121.20 ,$118.15 
10/16/2020,119.02,115393800,$121.28 ,$121.55 ,$118.81 
10/19/2020,115.98,120639300,$119.96 ,$120.42 ,$115.66 
10/20/2020,117.51,124423700,$116.20 ,$118.98 ,$115.63 
10/21/2020,116.87,89945980,$116.67 ,$118.71 ,$116.45 
10/22/2020,115.75,101988000,$117.45 ,$118.04 ,$114.59 
10/23/2020,115.04,82572650,$116.39 ,$116.55 ,$114.28 
10/26/2020,115.05,111850700,$114.01 ,$116.55 ,$112.88 
10/27/2020,116.60,92276770,$115.49 ,$117.28 ,$114.54 
10/28/2020,111.20,143937800,$115.05 ,$115.43 ,$111.10 
10/29/2020,115.32,146129200,$112.37 ,$116.93 ,$112.20 
10/30/2020,108.86,190573500,$111.06 ,$111.99 ,$107.72 
11/2/2020,108.77,122866900,$109.11 ,$110.68 ,$107.32 
11/3/2020,110.44,107624400,$109.66 ,$111.49 ,$108.73 
11/4/2020,114.95,138235500,$114.14 ,$115.59 ,$112.35 
11/5/2020,119.03,126387100,$117.95 ,$119.62 ,$116.87 
11/6/2020,118.69,114457900,$118.32 ,$119.20 ,$116.13 
11/9/2020,116.32,154515300,$120.50 ,$121.99 ,$116.05 
11/10/2020,115.97,138023400,$115.55 ,$117.59 ,$114.13 
11/11/2020,119.49,112295000,$117.19 ,$119.63 ,$116.44 
11/12/2020,119.21,103350700,$119.62 ,$120.53 ,$118.57 
11/13/2020,119.26,81688590,$119.44 ,$119.67 ,$117.87 
11/16/2020,120.30,91183020,$118.92 ,$120.99 ,$118.15 
11/17/2020,119.39,74270970,$119.55 ,$120.67 ,$118.96 
11/18/2020,118.03,76322110,$118.61 ,$119.82 ,$118 
11/19/2020,118.64,74112970,$117.59 ,$119.06 ,$116.81 
11/20/2020,117.34,73604290,$118.64 ,$118.77 ,$117.29 
11/23/2020,113.85,127959300,$117.18 ,$117.62 ,$113.75 
11/24/2020,115.17,113874200,$113.91 ,$115.85 ,$112.59 
11/25/2020,116.03,76499230,$115.55 ,$116.75 ,$115.17 
11/27/2020,116.59,46691330,$116.57 ,$117.49 ,$116.22 
11/30/2020,119.05,169410200,$116.97 ,$120.97 ,$116.81 
12/1/2020,122.72,128166800,$121.01 ,$123.47 ,$120.01 
12/2/2020,123.08,89004200,$122.02 ,$123.37 ,$120.89 
12/3/2020,122.94,78967630,$123.52 ,$123.78 ,$122.21 
12/4/2020,122.25,78260420,$122.60 ,$122.86 ,$121.52 
12/7/2020,123.75,86711990,$122.31 ,$124.57 ,$122.25 
12/8/2020,124.38,82225510,$124.37 ,$124.98 ,$123.09 
12/9/2020,121.78,115089200,$124.53 ,$125.95 ,$121 
12/10/2020,123.24,81312170,$120.50 ,$123.87 ,$120.15 
12/11/2020,122.41,86939790,$122.43 ,$122.76 ,$120.55 
12/14/2020,121.78,79075990,$122.60 ,$123.35 ,$121.54 
12/15/2020,127.88,157572300,$124.34 ,$127.90 ,$124.13 
12/16/2020,127.81,98208590,$127.41 ,$128.37 ,$126.56 
12/17/2020,128.70,94359810,$128.90 ,$129.58 ,$128.05 
12/18/2020,126.66,192541500,$128.96 ,$129.10 ,$126.12 
12/21/2020,128.23,121251600,$125.02 ,$128.31 ,$123.45 
12/22/2020,131.88,169351800,$131.61 ,$134.41 ,$129.65 
12/23/2020,130.96,88223690,$132.16 ,$132.43 ,$130.78 
12/24/2020,131.97,54930060,$131.32 ,$133.46 ,$131.10 
12/28/2020,136.69,124486200,$133.99 ,$137.34 ,$133.51 
12/29/2020,134.87,121047300,$138.05 ,$138.79 ,$134.34 
12/30/2020,133.72,96452120,$135.58 ,$135.99 ,$133.40 
12/31/2020,132.69,99116590,$134.08 ,$134.74 ,$131.72 
1/4/2021,129.41,143301900,$133.52 ,$133.61 ,$126.76 
1/5/2021,131.01,97664900,$128.89 ,$131.74 ,$128.43 
1/6/2021,126.60,155088000,$127.72 ,$131.05 ,$126.38 
1/7/2021,130.92,109578200,$128.36 ,$131.63 ,$127.86 
1/8/2021,132.05,105158200,$132.43 ,$132.63 ,$130.23 
1/11/2021,128.98,100620900,$129.19 ,$130.17 ,$128.50 
1/12/2021,128.80,91951150,$128.50 ,$129.69 ,$126.86 
1/13/2021,130.89,88636830,$128.76 ,$131.45 ,$128.49 
1/14/2021,128.91,90221760,$130.80 ,$131 ,$128.76 
1/15/2021,127.14,111598500,$128.78 ,$130.22 ,$127 
1/19/2021,127.83,90757330,$127.78 ,$128.71 ,$126.94 
1/20/2021,132.03,104319500,$128.66 ,$132.49 ,$128.55 
1/21/2021,136.87,120529500,$133.80 ,$139.67 ,$133.59 
1/22/2021,139.07,114459400,$136.28 ,$139.85 ,$135.02 
1/25/2021,142.92,157611700,$143.07 ,$145.09 ,$136.54 
1/26/2021,143.16,98390560,$143.60 ,$144.30 ,$141.37 
1/27/2021,142.06,140843800,$143.43 ,$144.30 ,$140.41 
1/28/2021,137.09,142621100,$139.52 ,$141.99 ,$136.70 
1/29/2021,131.96,177523800,$135.83 ,$136.74 ,$130.21 
2/1/2021,134.14,106239800,$133.75 ,$135.38 ,$130.93 
2/2/2021,134.99,83305370,$135.73 ,$136.31 ,$134.61 
2/3/2021,133.94,89880940,$135.76 ,$135.77 ,$133.61 
2/4/2021,137.39,84183060,$136.30 ,$137.40 ,$134.59 
2/5/2021,136.76,75693830,$137.35 ,$137.42 ,$135.86 
2/8/2021,136.91,71297210,$136.03 ,$136.96 ,$134.92 
2/9/2021,136.01,76774210,$136.62 ,$137.88 ,$135.85 
2/10/2021,135.39,73046560,$136.48 ,$136.99 ,$134.40 
2/11/2021,135.13,64280030,$135.90 ,$136.39 ,$133.77 
2/12/2021,135.37,60145130,$134.35 ,$135.53 ,$133.69 
2/16/2021,133.19,80576320,$135.49 ,$136.01 ,$132.79 
2/17/2021,130.84,98085250,$131.25 ,$132.22 ,$129.47 
2/18/2021,129.71,96856750,$129.20 ,$130.00 ,$127.41 
2/19/2021,129.87,87668830,$130.24 ,$130.71 ,$128.80 
2/22/2021,126.00,103916400,$128.01 ,$129.72 ,$125.60 
2/23/2021,125.86,158273000,$123.76 ,$126.71 ,$118.39 
2/24/2021,125.35,111039900,$124.94 ,$125.56 ,$122.23 
2/25/2021,120.99,148199500,$124.68 ,$126.46 ,$120.54 
2/26/2021,121.26,164560400,$122.59 ,$124.85 ,$121.20 
3/1/2021,127.79,116307900,$123.75 ,$127.93 ,$122.79 
3/2/2021,125.12,102260900,$128.41 ,$128.72 ,$125.01 
3/3/2021,122.06,112966300,$124.81 ,$125.71 ,$121.84 
3/4/2021,120.13,178155000,$121.75 ,$123.60 ,$118.62 
3/5/2021,121.42,153766600,$120.98 ,$121.94 ,$117.57 
3/8/2021,116.36,154376600,$120.93 ,$121 ,$116.21 
3/9/2021,121.09,129525800,$119.03 ,$122.06 ,$118.79 
3/10/2021,119.98,111943300,$121.69 ,$122.17 ,$119.45 
3/11/2021,121.96,103026500,$122.54 ,$123.21 ,$121.26 
3/12/2021,121.03,88105050,$120.40 ,$121.17 ,$119.16 
3/15/2021,123.99,92590560,$121.41 ,$124 ,$120.42 
3/16/2021,125.57,115227900,$125.70 ,$127.22 ,$124.72 
3/17/2021,124.76,111932600,$124.05 ,$125.86 ,$122.34 
3/18/2021,120.53,121469800,$122.88 ,$123.18 ,$120.32 
3/19/2021,119.99,185549500,$119.90 ,$121.43 ,$119.68 
3/22/2021,123.39,111912300,$120.33 ,$123.87 ,$120.26 
3/23/2021,122.54,95467140,$123.33 ,$124.24 ,$122.14 
3/24/2021,120.09,88530490,$122.82 ,$122.90 ,$120.07 
3/25/2021,120.59,98844680,$119.54 ,$121.66 ,$119 
3/26/2021,121.21,94071230,$120.35 ,$121.48 ,$118.92 
3/29/2021,121.39,80819200,$121.65 ,$122.58 ,$120.73 
3/30/2021,119.90,85671920,$120.11 ,$120.40 ,$118.86 
3/31/2021,122.15,118323800,$121.65 ,$123.52 ,$121.15 
4/1/2021,123.00,75089130,$123.66 ,$124.18 ,$122.49 
4/5/2021,125.90,88651180,$123.87 ,$126.16 ,$123.07 
4/6/2021,126.21,80171250,$126.50 ,$127.13 ,$125.65 
4/7/2021,127.90,83466720,$125.83 ,$127.92 ,$125.14 
4/8/2021,130.36,88844590,$128.95 ,$130.39 ,$128.52 
4/9/2021,133.00,106686700,$129.80 ,$133.04 ,$129.47 
4/12/2021,131.24,91419980,$132.52 ,$132.85 ,$130.63 
4/13/2021,134.43,91266550,$132.44 ,$134.66 ,$131.93 
4/14/2021,132.03,87222780,$134.94 ,$135 ,$131.66 
4/15/2021,134.50,89347100,$133.82 ,$135 ,$133.64 
4/16/2021,134.16,84922390,$134.30 ,$134.67 ,$133.28 
4/19/2021,134.84,94264220,$133.51 ,$135.47 ,$133.34 
4/20/2021,133.11,94812350,$135.02 ,$135.53 ,$131.81 
4/21/2021,133.50,68847140,$132.36 ,$133.75 ,$131.30 
4/22/2021,131.94,84566460,$133.04 ,$134.15 ,$131.41 
4/23/2021,134.32,78756780,$132.16 ,$135.12 ,$132.16 
4/26/2021,134.72,66905070,$134.83 ,$135.06 ,$133.56 
4/27/2021,134.39,66015800,$135.01 ,$135.41 ,$134.11 
4/28/2021,133.58,107760100,$134.31 ,$135.02 ,$133.08 
4/29/2021,133.48,151101000,$136.47 ,$137.07 ,$132.45 
4/30/2021,131.46,109839500,$131.78 ,$133.56 ,$131.07 
5/3/2021,132.54,75135100,$132.04 ,$134.07 ,$131.83 
5/4/2021,127.85,137564700,$131.19 ,$131.49 ,$126.70 
5/5/2021,128.10,84000900,$129.20 ,$130.45 ,$127.97 
5/6/2021,129.74,78128330,$127.89 ,$129.75 ,$127.13 
5/7/2021,130.21,78973270,$130.85 ,$131.26 ,$129.48 
5/10/2021,126.85,88071230,$129.41 ,$129.54 ,$126.81 
5/11/2021,125.91,126142800,$123.50 ,$126.27 ,$122.77 
5/12/2021,122.77,112172300,$123.40 ,$124.64 ,$122.25 
5/13/2021,124.97,105861300,$124.58 ,$126.15 ,$124.26 
5/14/2021,127.45,81917950,$126.25 ,$127.89 ,$125.85 
5/17/2021,126.27,74116550,$126.82 ,$126.93 ,$125.17 
5/18/2021,124.85,63342930,$126.56 ,$126.99 ,$124.78 
5/19/2021,124.69,92611990,$123.16 ,$124.92 ,$122.86 
5/20/2021,127.31,76857120,$125.23 ,$127.72 ,$125.10 
5/21/2021,125.43,79295440,$127.82 ,$128 ,$125.21 
5/24/2021,127.10,63092950,$126.01 ,$127.94 ,$125.94 
5/25/2021,126.90,72009480,$127.82 ,$128.32 ,$126.32 
5/26/2021,126.85,56575920,$126.96 ,$127.39 ,$126.42 
5/27/2021,125.28,94625600,$126.44 ,$127.64 ,$125.08 
5/28/2021,124.61,71311110,$125.57 ,$125.80 ,$124.55 
6/1/2021,124.28,67637120,$125.08 ,$125.35 ,$123.94 
6/2/2021,125.06,59278860,$124.28 ,$125.24 ,$124.05 
6/3/2021,123.54,76229170,$124.68 ,$124.85 ,$123.13 
6/4/2021,125.89,75169340,$124.07 ,$126.16 ,$123.85 
6/7/2021,125.90,71057550,$126.17 ,$126.32 ,$124.83 
6/8/2021,126.74,74403770,$126.60 ,$128.46 ,$126.21 
6/9/2021,127.13,56877940,$127.21 ,$127.75 ,$126.52 
6/10/2021,126.11,71186420,$127.02 ,$128.19 ,$125.94 
6/11/2021,127.35,53522370,$126.53 ,$127.44 ,$126.10 
6/14/2021,130.48,96906490,$127.82 ,$130.54 ,$127.07 
6/15/2021,129.64,62746330,$129.94 ,$130.60 ,$129.39 
6/16/2021,130.15,91815030,$130.37 ,$130.89 ,$128.46 
6/17/2021,131.79,96721670,$129.80 ,$132.55 ,$129.65 
6/18/2021,130.46,108953300,$130.71 ,$131.51 ,$130.24 
6/21/2021,132.30,79663320,$130.30 ,$132.41 ,$129.21 
6/22/2021,133.98,74783620,$132.13 ,$134.08 ,$131.62 
6/23/2021,133.70,60214200,$133.77 ,$134.32 ,$133.23 
6/24/2021,133.41,68711000,$134.45 ,$134.64 ,$132.93 
6/25/2021,133.11,70783750,$133.46 ,$133.89 ,$132.81 
6/28/2021,134.78,62111300,$133.41 ,$135.25 ,$133.35 
6/29/2021,136.33,64556080,$134.80 ,$136.49 ,$134.35 
6/30/2021,136.96,63261390,$136.17 ,$137.41 ,$135.87 
7/1/2021,137.27,52485780,$136.60 ,$137.33 ,$135.76 
7/2/2021,139.96,78945570,$137.90 ,$140 ,$137.75 
7/6/2021,142.02,108181800,$140.07 ,$143.15 ,$140.07 
7/7/2021,144.57,104911600,$143.54 ,$144.89 ,$142.66 
7/8/2021,143.24,105575500,$141.58 ,$144.06 ,$140.67 
7/9/2021,145.11,99890800,$142.75 ,$145.65 ,$142.65 
7/12/2021,144.50,76299720,$146.21 ,$146.32 ,$144 
7/13/2021,145.64,100827100,$144.03 ,$147.46 ,$143.63 
7/14/2021,149.15,127050800,$148.10 ,$149.57 ,$147.68 
7/15/2021,148.48,106820300,$149.24 ,$150 ,$147.09 
7/16/2021,146.39,93251430,$148.46 ,$149.76 ,$145.88 
7/19/2021,142.45,121434600,$143.75 ,$144.07 ,$141.67 
7/20/2021,146.15,96350040,$143.46 ,$147.10 ,$142.96 
7/21/2021,145.40,74993460,$145.53 ,$146.13 ,$144.63 
7/22/2021,146.80,77338160,$145.94 ,$148.20 ,$145.81 
7/23/2021,148.56,71447420,$147.55 ,$148.72 ,$146.92 
7/26/2021,148.99,72434090,$148.27 ,$149.83 ,$147.70 
7/27/2021,146.77,104818600,$149.12 ,$149.21 ,$145.55 
7/28/2021,144.98,118931200,$144.81 ,$146.97 ,$142.54 
7/29/2021,145.64,56699480,$144.69 ,$146.55 ,$144.58 
7/30/2021,145.86,70440630,$144.38 ,$146.33 ,$144.11 
8/2/2021,145.52,62879960,$146.36 ,$146.95 ,$145.25 
8/3/2021,147.36,64786620,$145.81 ,$148.05 ,$145.18 
8/4/2021,146.95,56368270,$147.27 ,$147.79 ,$146.28 
8/5/2021,147.06,46397670,$146.98 ,$147.84 ,$146.17 
8/6/2021,146.14,54126810,$146.35 ,$147.11 ,$145.63 
8/9/2021,146.09,48908690,$146.20 ,$146.70 ,$145.52 
8/10/2021,145.60,69023080,$146.44 ,$147.71 ,$145.30 
8/11/2021,145.86,48493460,$146.05 ,$146.72 ,$145.53 
8/12/2021,148.89,73779110,$146.19 ,$149.05 ,$145.84 
8/13/2021,149.10,59375010,$148.97 ,$149.44 ,$148.27 
8/16/2021,151.12,103558800,$148.54 ,$151.19 ,$146.47 
8/17/2021,150.19,92229740,$150.23 ,$151.68 ,$149.09 
8/18/2021,146.36,86325990,$149.80 ,$150.72 ,$146.15 
8/19/2021,146.70,86960310,$145.03 ,$148 ,$144.50 
8/20/2021,148.19,60549630,$147.44 ,$148.50 ,$146.78 
8/23/2021,149.71,60131810,$148.31 ,$150.19 ,$147.89 
8/24/2021,149.62,48606430,$149.45 ,$150.86 ,$149.15 
8/25/2021,148.36,58991300,$149.81 ,$150.32 ,$147.80 
8/26/2021,147.54,48597200,$148.35 ,$149.12 ,$147.51 
8/27/2021,148.60,55802390,$147.48 ,$148.75 ,$146.83 
8/30/2021,153.12,90956720,$149 ,$153.49 ,$148.61 
8/31/2021,151.83,86453120,$152.66 ,$152.80 ,$151.29 
9/1/2021,152.51,80313710,$152.83 ,$154.98 ,$152.34 
9/2/2021,153.65,71171320,$153.87 ,$154.72 ,$152.40 
9/3/2021,154.30,57866070,$153.76 ,$154.63 ,$153.09 
9/7/2021,156.69,82278260,$154.97 ,$157.26 ,$154.39 
9/8/2021,155.11,74420210,$156.98 ,$157.04 ,$153.98 
9/9/2021,154.07,57305730,$155.49 ,$156.11 ,$153.95 
9/10/2021,148.97,140893200,$155 ,$155.48 ,$148.70 
